cluster_id,ox,oy,dx,dy,flow,distance_m,riding_time_s,is_workday,origin_id,destination_id,semantics_origin,semantics_dest,semantics_id_origin,semantics_id_dest,category_origin,category_dest,category_id_origin,category_id_dest
515,114.3649322516214,30.543855236239487,114.36017748520388,30.543652651244997,10,811.2,301.8,工作日,910.0,1090.0,湖滨食堂,工学部15舍,376.0,96.0,食堂,学生宿舍,10.0,4.0
141,114.36415888664101,30.544659825960423,114.35658518649784,30.53815523931428,10,1522.0,539.0,工作日,1184.0,616.0,湖滨十三舍,武汉大学总图书馆,370.0,315.0,学生宿舍,教学区域,4.0,6.0
137,114.35378320803795,30.542095239833326,114.358729278879,30.537952317780338,10,1089.6,472.5,工作日,958.0,689.0,桂园6舍,梅园食堂,163.0,169.0,学生宿舍,食堂,4.0,10.0
292,114.35566328747241,30.539100690444364,114.3649237906541,30.543678655376272,10,1148.9,615.0,工作日,624.0,910.0,珞珈广场,湖滨食堂,387.0,376.0,文娱场地,食堂,8.0,10.0
295,114.36404386015684,30.539317361360514,114.35673304206637,30.537844025469052,10,1050.9,427.7,工作日,543.0,593.0,枫园14舍,武汉大学总图书馆,148.0,315.0,学生宿舍,教学区域,4.0,6.0
554,114.35247208782869,30.5291281433416,114.36049031207259,30.54685888488479,10,3037.7,938.1,工作日,174.0,1222.0,南二门,尖端科技楼,60.0,88.0,交通枢纽,教学区域,0.0,6.0
551,114.36491017929056,30.543765293696644,114.3601292362853,30.54371460466433,10,1106.7,421.8,工作日,910.0,1090.0,湖滨食堂,工学部15舍,376.0,96.0,食堂,学生宿舍,10.0,4.0
290,114.3565976739856,30.538131828694976,114.35404325362906,30.530923508969586,10,1520.5,534.7,工作日,616.0,249.0,武汉大学总图书馆,信息学部4舍,315.0,36.0,教学区域,学生宿舍,6.0,4.0
548,114.3590653622662,30.538512259266064,114.35439350501217,30.541541890791184,10,617.6,195.6,工作日,693.0,955.0,武汉大学梅园四、五舍,文理学部教六楼,328.0,137.0,学生宿舍,教学区域,4.0,6.0
233,114.35470728989682,30.532753717914716,114.35377548924706,30.541842795968556,10,1326.7,519.0,工作日,280.0,958.0,武汉大学信息学部教工宿舍16栋,桂园6舍,215.0,163.0,教工宿舍,学生宿舍,7.0,4.0
370,114.35599566951696,30.538236782624097,114.3529903141382,30.53002710312233,10,1383.2,450.8,工作日,618.0,180.0,文理学部教5楼,武汉大学信息部学生宿舍11舍,135.0,242.0,教学区域,学生宿舍,6.0,4.0
372,114.3606006677242,30.54718992184744,114.36747584255679,30.540845817402868,10,1838.3,559.7,工作日,1236.0,868.0,尖端科技楼,武汉大学经济与管理学院,88.0,335.0,教学区域,教学区域,6.0,6.0
364,114.35178775761042,30.542946570483217,114.36687160977849,30.53984433880087,10,1960.4,633.9,工作日,820.0,850.0,武汉大学工学部集贸市场,留学生宿舍3号楼,313.0,396.0,食堂,学生宿舍,10.0,6.0
425,114.36401474692082,30.544354810063076,114.3668452122503,30.539868046409975,10,649.3,247.0,工作日,913.0,850.0,湖滨十三舍,留学生宿舍3号楼,370.0,396.0,学生宿舍,学生宿舍,4.0,4.0
420,114.36406264357629,30.539307441030864,114.36562154826007,30.54147719394364,10,648.8,210.6,工作日,543.0,886.0,枫园14舍,武汉大学外国文学学院,148.0,307.0,学生宿舍,教学区域,4.0,6.0
215,114.35660133434556,30.537391668323743,114.35343497276128,30.54484204818838,10,1516.8,505.3,工作日,591.0,1169.0,武汉大学总图书馆,中区043栋,315.0,20.0,教学区域,教工宿舍,6.0,7.0
192,114.35442269987068,30.540048645280688,114.35311953269274,30.5299591924098,10,1270.7,471.1,工作日,628.0,179.0,风雨操场,武汉大学信息学部四食堂,453.0,209.0,运动场地,学生宿舍,1.0,4.0
440,114.35300686264489,30.54112226696239,114.36414793523363,30.54468141041221,10,1648.2,639.0,工作日,800.0,1184.0,计算机学院,湖滨十三舍,442.0,370.0,教学区域,学生宿舍,6.0,4.0
435,114.35172173725373,30.543006554680517,114.36041964337191,30.544061359233986,10,956.5,310.9,工作日,822.0,1113.0,西区069栋,工学部4舍,438.0,102.0,教工宿舍,学生宿舍,7.0,4.0
349,114.3590753493432,30.538536137370368,114.3491448096424,30.54184289248596,10,1310.1,430.2,工作日,693.0,24.0,武汉大学梅园四、五舍,茶港门,328.0,424.0,学生宿舍,交通枢纽,4.0,0.0
351,114.35664935690224,30.53736401361196,114.35194332776321,30.534476319878127,10,731.870781017258,279.7,工作日,591.0,436.0,武汉大学总图书馆,牌坊,315.0,378.0,教学区域,交通枢纽,6.0,0.0
207,114.36624339060465,30.534848944994017,114.35869617961335,30.545152911763022,10,2258.8,649.0,工作日,470.0,1123.0,珞东二门,工学部学生7舍,382.0,116.0,交通枢纽,学生宿舍,0.0,4.0
355,114.35593584750632,30.538150999802887,114.35455793498541,30.530071429305686,10,1515.3,757.2,工作日,618.0,245.0,文理学部教5楼,信息学部2舍,135.0,34.0,教学区域,学生宿舍,6.0,4.0
